DEBUG 2025-07-18 20:04:41,443 autoreload File C:\Python 3.11.9\Lib\locale.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,443 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\http\response.py first seen with mtime 1752842012.2033741
DEBUG 2025-07-18 20:04:41,444 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\template\smartif.py first seen with mtime 1752842012.226636
DEBUG 2025-07-18 20:04:41,444 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\__init__.py first seen with mtime 1752842012.0032275
DEBUG 2025-07-18 20:04:41,445 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1752842012.0032275
DEBUG 2025-07-18 20:04:41,447 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\middleware\security.py first seen with mtime 1752842012.2033741
DEBUG 2025-07-18 20:04:41,448 autoreload File C:\Python 3.11.9\Lib\ctypes\wintypes.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,448 autoreload File C:\Python 3.11.9\Lib\urllib\error.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,449 autoreload File C:\Python 3.11.9\Lib\datetime.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,450 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\templatetags\static.py first seen with mtime 1752842012.2291412
DEBUG 2025-07-18 20:04:41,451 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1752842030.2761364
DEBUG 2025-07-18 20:04:41,452 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1752842003.7929192
